model_label,partition,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_f1,citation_source_support,number_source_support,tokens_per_second,peak_gpu_memory_gib
base,test_in_abs,0.5365273991158347,0.24312573443132116,0.2475692815909068,0.8430712,0.5357235441777025,0.9925735294117647,33.216077219295805,6.389934444427491
base,test_in_ext_expert,0.5980519588130585,0.2613227113261972,0.24787269426719194,0.83326286,0.321394256586207,0.9668401895703087,31.107986212830827,6.393879489898682
base,test_uk_abs,0.514173352585351,0.2275358342055936,0.2164853419448608,0.83787405,0.5554454878454879,1.0,32.94905355003701,6.400536441802979
qlora,test_in_abs,0.5890826419465514,0.3777026643315447,0.3363610563326177,0.8430035,0.8191850086861331,0.8959386782939118,19.093422529976664,6.753508472442627
qlora,test_in_ext_expert,0.5978697046373714,0.3929351057503308,0.3524633857715705,0.8263411,0.6329966914301953,0.8036414800088574,18.948334191619598,6.759419689178467
qlora,test_uk_abs,0.40512541948806563,0.20543228076772557,0.19220307753137345,0.815644,0.8911585264408793,0.8500185853161584,18.922179306741292,6.769396896362305
base,ALL,0.5495842368380814,0.24399475998770398,0.23730910593431986,0.8380694,0.4708544295364658,0.9864712396606912,32.424372327387886,6.394783458709717
qlora,ALL,0.5306925886906628,0.3253566836165337,0.29367583987852053,0.8283295,0.7811134088524027,0.8498662478729758,18.987978676112515,6.7607750193278
